SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
GEECEE,EQ,69.35,71.7,67.2,69.2,71.5,69.6,5537,382410.65,22-SEP-2020,280,INE916G01016,
GEEKAYWIRE,BE,88,88,86.5,86.5,86.5,88,7039,616432,22-SEP-2020,22,INE669X01016,
GENESYS,BE,58.1,63,57,59.9,59.25,60,9443,566718.25,22-SEP-2020,75,INE727B01026,
GENUSPAPER,EQ,4.9,5,4.4,4.85,5,4.85,154600,730829.1,22-SEP-2020,199,INE949P01018,
GENUSPOWER,EQ,27,27,24.5,26.1,26.8,26.95,209142,5403501.8,22-SEP-2020,1409,INE955D01029,
GEOJITFSL,EQ,38,38.25,36.2,37.45,37.6,38.35,240549,8950086.3,22-SEP-2020,1786,INE007B01023,
GEPIL,EQ,445.05,457.55,410.8,446.1,447,453.8,30342,13231256.3,22-SEP-2020,2714,INE878A01011,
GESHIP,EQ,245,255.8,236.25,248.95,246.65,244.65,138237,34453596.6,22-SEP-2020,6419,INE017A01032,
GET&D,EQ,96.9,96.9,90.2,90.2,90.2,94.9,104761,9465503.45,22-SEP-2020,743,INE200A01026,
GFLLIMITED,EQ,84.15,85.05,80.9,81.05,80.9,84.15,26356,2154972,22-SEP-2020,1028,INE538A01037,
GFSTEELS,EQ,2.7,2.75,2.7,2.75,2.75,2.7,26,71.45,22-SEP-2020,4,INE534A01028,
GHCL,EQ,157.65,162.75,150.2,158.35,158,161.65,167336,26031165.85,22-SEP-2020,6591,INE539A01019,
GICHSGFIN,EQ,96.95,96.95,91.05,94.05,94.5,96.95,431739,40433027.9,22-SEP-2020,5488,INE289B01019,
GICRE,EQ,124.2,125.65,119.55,123.15,124.35,124.9,213119,25853394.5,22-SEP-2020,5569,INE481Y01014,
GILLANDERS,EQ,29,29,26.8,26.8,26.8,28.2,4985,136806.25,22-SEP-2020,36,INE047B01011,
GILLETTE,EQ,5487,5520,5265,5377.9,5378,5530.4,8468,45466964.35,22-SEP-2020,2444,INE322A01010,
GINNIFILA,EQ,11.25,12,11.2,11.35,11.9,11.7,45828,518706.4,22-SEP-2020,113,INE424C01010,
